Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_028617.1	69635	69751	Pltd	minus	photosystem II protein L	psbL	26380859	protein-coding		YP_009186183.1	38	AT063_gp051
NC_028617.1	69774	69893	Pltd	minus	photosystem II protein VI	psbF	26380863	protein-coding		YP_009186184.1	39	AT063_gp050
NC_028617.1	69903	70154	Pltd	minus	photosystem II protein V	psbE	26380862	protein-coding		YP_009186185.1	83	AT063_gp049
NC_028617.1	71499	71594	Pltd	plus	cytochrome b6/f complex subunit VI	petL	26380849	protein-coding		YP_009186186.1	31	AT063_gp048
NC_028617.1	71771	71884	Pltd	plus	cytochrome b6/f complex subunit V	petG	26380872	protein-coding		YP_009186187.1	37	AT063_gp047
NC_028617.1	72014	72087	Pltd	minus	tRNA-Trp	trnW-CCA	26380865	tRNA				AT063_gt020
NC_028617.1	72265	72338	Pltd	minus	tRNA-Pro	trnP-TGG	26380884	tRNA				AT063_gt021
NC_028617.1	72723	72851	Pltd	plus	photosystem I subunit IX	psaJ	26380885	protein-coding		YP_009186188.1	42	AT063_gp046
NC_028617.1	73328	73534	Pltd	plus	ribosomal protein L33	rpl33	26380858	protein-coding		YP_009186189.1	68	AT063_gp045
NC_028617.1	73688	73993	Pltd	plus	ribosomal protein S18	rps18	26380853	protein-coding		YP_009186190.1	101	AT063_gp044
NC_028617.1	74267	74620	Pltd	minus	ribosomal protein L20	rpl20	26380842	protein-coding		YP_009186191.1	117	AT063_gp043
NC_028617.1	75441	104307	Pltd	minus	ribosomal protein S12	rps12	26380904	protein-coding		YP_009186147.1	124	AT063_gp041
NC_028617.1	75441	147083	Pltd	plus	ribosomal protein S12	rps12	26380841	protein-coding		YP_009186192.1	123	AT063_gp042
NC_028617.1	75736	77777	Pltd	minus	ATP-dependent Clp protease proteolytic subunit	clpP	26380775	protein-coding		YP_009186193.1	196	AT063_gp040
NC_028617.1	78274	79800	Pltd	plus	photosystem II 47 kDa protein	psbB	26380791	protein-coding		YP_009186194.1	508	AT063_gp039
NC_028617.1	79987	80094	Pltd	plus	photosystem II protein T	psbT	26380794	protein-coding		YP_009186195.1	35	AT063_gp038
NC_028617.1	80161	80292	Pltd	minus	photosystem II protein N	psbN	26380869	protein-coding		YP_009186196.1	43	AT063_gp037
NC_028617.1	80397	80618	Pltd	plus	photosystem II protein H	psbH	26380857	protein-coding		YP_009186197.1	73	AT063_gp036
NC_028617.1	80743	82201	Pltd	plus	cytochrome b6	petB	26380852	protein-coding		YP_009186198.1	215	AT063_gp035
NC_028617.1	82412	83514	Pltd	plus	cytochrome b6/f complex subunit IV	petD	26380803	protein-coding		YP_009186199.1	160	AT063_gp034
NC_028617.1	83766	84752	Pltd	minus	RNA polymerase alpha subunit	rpoA	26380809	protein-coding		YP_009186200.1	328	AT063_gp033
NC_028617.1	84817	85233	Pltd	minus	ribosomal protein S11	rps11	26380815	protein-coding		YP_009186201.1	138	AT063_gp032
NC_028617.1	85363	85476	Pltd	minus	ribosomal protein L36	rpl36	26380836	protein-coding		YP_009186202.1	37	AT063_gp031
NC_028617.1	85955	86359	Pltd	minus	ribosomal protein S8	rps8	26380866	protein-coding		YP_009186203.1	134	AT063_gp030
NC_028617.1	86554	86922	Pltd	minus	ribosomal protein L14	rpl14	26380837	protein-coding		YP_009186204.1	122	AT063_gp029
NC_028617.1	87068	88401	Pltd	minus	ribosomal protein L16	rpl16	26380839	protein-coding		YP_009186205.1	135	AT063_gp028
NC_028617.1	88561	89220	Pltd	minus	ribosomal protein S3	rps3	26380805	protein-coding		YP_009186206.1	219	AT063_gp027
NC_028617.1	89205	89642	Pltd	minus	ribosomal protein L22	rpl22	26380826	protein-coding		YP_009186207.1	145	AT063_gp026
NC_028617.1	89775	90059	Pltd	minus	ribosomal protein S19	rps19	26380835	protein-coding		YP_009186208.1	94	AT063_gp025
NC_028617.1	90134	91643	Pltd	minus	ribosomal protein L2	rpl2	26380845	protein-coding		YP_009186209.1	274	AT063_gp024
NC_028617.1	91662	91943	Pltd	minus	ribosomal protein L23	rpl23	26380798	protein-coding		YP_009186210.1	93	AT063_gp023
NC_028617.1	92109	92182	Pltd	minus	tRNA-Met	trnI-CAT	26380846	tRNA				AT063_gt022
NC_028617.1	92271	99116	Pltd	plus	Ycf2	ycf2	26380886	protein-coding		YP_009186211.1	2281	AT063_gp022
NC_028617.1	99264	99317	Pltd	plus	Ycf15	ycf15	26380777	protein-coding		YP_009186212.1	17	AT063_gp021
NC_028617.1	99800	99880	Pltd	minus	tRNA-Leu	trnL-CAA	26380903	tRNA				AT063_gt023
NC_028617.1	100464	102688	Pltd	minus	NADH dehydrogenase subunit 2	ndhB	26380879	protein-coding		YP_009186213.1	512	AT063_gp020
NC_028617.1	102993	103460	Pltd	minus	ribosomal protein S7	rps7	26380789	protein-coding		YP_009186214.1	155	AT063_gp019
NC_028617.1	105998	106069	Pltd	plus	tRNA-Val	trnV-GAC	26380833	tRNA				AT063_gt024
NC_028617.1	106298	107787	Pltd	minus	16S ribosomal RNA	rrn16S	26380898	rRNA				AT063_gr008
NC_028617.1	108082	109108	Pltd	plus	tRNA-Ile	trnI-GAU	26380799	tRNA				AT063_gt025
NC_028617.1	109173	110051	Pltd	plus	tRNA-Ala	trnA-UGC	26380812	tRNA				AT063_gt026
NC_028617.1	110204	113017	Pltd	minus	23S ribosomal RNA	rrn23S	26380818	rRNA				AT063_gr007
NC_028617.1	113116	113218	Pltd	minus	4.5S ribosomal RNA	rrn4.5S	26380783	rRNA				AT063_gr006
NC_028617.1	113480	113600	Pltd	plus	5S ribosomal RNA	rrn5S	26380870	rRNA				AT063_gr005
NC_028617.1	113856	113929	Pltd	plus	tRNA-Arg	trnR-ACG	26380860	tRNA				AT063_gt027
NC_028617.1	114548	114619	Pltd	minus	tRNA-Asn	trnN-GTT	26380887	tRNA				AT063_gt028
NC_028617.1	114944	115966	Pltd	plus	uncharacterized gene	ycf1	26380899	pseudogene				AT063_gp018
NC_028617.1	116196	118421	Pltd	minus	NADH dehydrogenase subunit 5	ndhF	26380814	protein-coding		YP_009186215.1	741	AT063_gp017
NC_028617.1	119240	119404	Pltd	plus	ribosomal protein L32	rpl32	26380787	protein-coding		YP_009186216.1	54	AT063_gp016
NC_028617.1	120109	120188	Pltd	plus	tRNA-Leu	trnL-TAG	26380856	tRNA				AT063_gt029
NC_028617.1	120290	121246	Pltd	plus	cytochrome c biogenesis protein	ccsA	26380881	protein-coding		YP_009186217.1	318	AT063_gp015
NC_028617.1	121541	123061	Pltd	minus	NADH dehydrogenase subunit 4	ndhD	26380817	protein-coding		YP_009186218.1	506	AT063_gp014
NC_028617.1	123177	123422	Pltd	minus	photosystem I subunit VII	psaC	26380796	protein-coding		YP_009186219.1	81	AT063_gp013
NC_028617.1	123677	123982	Pltd	minus	NADH dehydrogenase subunit 4L	ndhE	26380851	protein-coding		YP_009186220.1	101	AT063_gp012
NC_028617.1	124223	124753	Pltd	minus	NADH dehydrogenase subunit 6	ndhG	26380843	protein-coding		YP_009186221.1	176	AT063_gp011
NC_028617.1	125139	125639	Pltd	minus	NADH dehydrogenase subunit I	ndhI	26380830	protein-coding		YP_009186222.1	166	AT063_gp010
NC_028617.1	125722	127969	Pltd	minus	NADH dehydrogenase subunit 1	ndhA	26380831	protein-coding		YP_009186223.1	364	AT063_gp009
NC_028617.1	127971	129152	Pltd	minus	NADH dehydrogenase subunit 7	ndhH	26380786	protein-coding		YP_009186224.1	393	AT063_gp008
NC_028617.1	129256	129528	Pltd	minus	ribosomal protein S15	rps15	26380807	protein-coding		YP_009186225.1	90	AT063_gp007
NC_028617.1	129978	135653	Pltd	minus	Ycf1	ycf1	26380848	protein-coding		YP_009186226.1	1891	AT063_gp006
NC_028617.1	135978	136049	Pltd	plus	tRNA-Asn	trnN-GTT	26380779	tRNA				AT063_gt030
NC_028617.1	136668	136741	Pltd	minus	tRNA-Arg	trnR-ACG	26380900	tRNA				AT063_gt031
NC_028617.1	136997	137117	Pltd	minus	5S ribosomal RNA	rrn5S	26380888	rRNA				AT063_gr004
NC_028617.1	137379	137481	Pltd	plus	4.5S ribosomal RNA	rrn4.5S	26380861	rRNA				AT063_gr003
NC_028617.1	137580	140393	Pltd	plus	23S ribosomal RNA	rrn23S	26380871	rRNA				AT063_gr002
NC_028617.1	140546	141424	Pltd	minus	tRNA-Ala	trnA-UGC	26380784	tRNA				AT063_gt032
NC_028617.1	141489	142515	Pltd	minus	tRNA-Ile	trnI-GAU	26380819	tRNA				AT063_gt033
NC_028617.1	142810	144299	Pltd	plus	16S ribosomal RNA	rrn16S	26380813	rRNA				AT063_gr001
NC_028617.1	144528	144599	Pltd	minus	tRNA-Val	trnV-GAC	26380800	tRNA				AT063_gt034
NC_028617.1	147137	147604	Pltd	plus	ribosomal protein S7	rps7	26380901	protein-coding		YP_009186227.1	155	AT063_gp005
NC_028617.1	147909	150133	Pltd	plus	NADH dehydrogenase subunit 2	ndhB	26380834	protein-coding		YP_009186228.1	512	AT063_gp004
NC_028617.1	150717	150797	Pltd	plus	tRNA-Leu	trnL-CAA	26380788	tRNA				AT063_gt035
NC_028617.1	151481	158326	Pltd	minus	Ycf2	ycf2	26380880	protein-coding		YP_009186229.1	2281	AT063_gp003
NC_028617.1	158415	158488	Pltd	plus	tRNA-Met	trnI-CAT	26380778	tRNA				AT063_gt036
NC_028617.1	158654	158935	Pltd	plus	ribosomal protein L23	rpl23	26380889	protein-coding		YP_009186230.1	93	AT063_gp002
NC_028617.1	158954	160463	Pltd	plus	ribosomal protein L2	rpl2	26380847	protein-coding		YP_009186231.1	274	AT063_gp001
NC_049901.1	6	1571	1	minus	auxin efflux carrier component 2-like	LOC118344036	118344036	protein-coding	XM_035683776.1	XP_035539669.1	423	
NC_049901.1	6954	8627	1	plus	probable WRKY transcription factor 17	LOC118348327	118348327	protein-coding	XM_035689880.1	XP_035545773.1	315	
NC_049901.1	17219	23304	1	minus	KH domain-containing protein HEN4-like isoform X1	LOC108990460	108990460	protein-coding	XM_018964426.2	XP_018819971.1	549	
NC_049901.1	26245	32911	1	plus	polypyrimidine tract-binding protein homolog 1-like isoform X1	LOC108990461	108990461	protein-coding	XM_018964433.2	XP_018819978.1	473	
NC_049901.1	41008	42545	1	plus	expansin-A10-like	LOC108985978	108985978	protein-coding	XM_018958473.2	XP_018814018.1	241	
NC_049901.1	46127	47265	1	minus	probable calcium-binding protein CML45	LOC108990465	108990465	protein-coding	XM_018964438.2	XP_018819983.1	209	
NC_049901.1	56334	59733	1	minus	cyclic dof factor 2-like	LOC108985974	108985974	protein-coding	XM_018958468.2	XP_018814013.1	504	
NC_049901.1	69308	70571	1	plus	uncharacterized protein At5g19025-like	LOC108985973	108985973	protein-coding	XM_018958467.2	XP_018814012.1	224	
NC_049901.1	73924	76524	1	plus	pentatricopeptide repeat-containing protein At5g50390, chloroplastic	LOC108985966	108985966	protein-coding	XM_018958453.2	XP_018813998.2	706	
NC_049901.1	77190	87192	1	plus	DCN1-like protein 3	LOC108985971	108985971	protein-coding	XM_018958457.2	XP_018814002.1	320	
NC_049901.1	89221	97701	1	plus	granule-bound starch synthase 2, chloroplastic/amyloplastic-like	LOC108985965	108985965	protein-coding	XM_018958452.2	XP_018813997.2	780	
NC_049901.1	97890	99387	1	plus	F-box/kelch-repeat protein At3g06240-like	LOC108985969	108985969	protein-coding	XM_035684726.1	XP_035540619.1	380	
NC_049901.1	105883	108176	1	minus	extracellular ribonuclease LE-like isoform X1	LOC108985972	108985972	protein-coding	XM_018958458.2	XP_018814003.1	302	
NC_049901.1	108277	111199	1	minus	ATP-dependent zinc metalloprotease FTSH 6, chloroplastic	LOC108985967	108985967	protein-coding	XM_018958454.2	XP_018813999.2	673	
NC_049901.1	111644	113393	1	plus	pentatricopeptide repeat-containing protein At2g36730	LOC108985968	108985968	protein-coding	XM_018958455.2	XP_018814000.1	514	
NC_049901.1	114199	120750	1	minus	amino acid transporter AVT1I-like isoform X1	LOC108985961	108985961	protein-coding	XM_018958446.2	XP_018813991.2	484	
NC_049901.1	122027	133920	1	minus	structural maintenance of chromosomes protein 4	LOC108985977	108985977	protein-coding	XM_035694326.1	XP_035550219.1	1245	
NC_049901.1	135059	138097	1	plus	uncharacterized gene	LOC108985963	108985963	pseudogene				
NC_049901.1	145337	146955	1	minus	gibberellin-regulated protein 6-like	LOC108985962	108985962	protein-coding	XM_018958448.2	XP_018813993.1	109	
NC_049901.1	153649	155299	1	plus	uncharacterized protein LOC118344046	LOC118344046	118344046	protein-coding	XM_035683798.1	XP_035539691.1	176	
NC_049901.1	164820	166281	1	plus	zinc-finger homeodomain protein 9-like	LOC108985975	108985975	protein-coding	XM_018958469.2	XP_018814014.1	331	
NC_049901.1	176687	177345	1	minus	mini zinc finger protein 2-like	LOC108988280	108988280	protein-coding	XM_018961501.2	XP_018817046.1	88	
NC_049901.1	186159	188004	1	minus	myb-related protein 306-like	LOC108988279	108988279	protein-coding	XM_018961500.2	XP_018817045.1	329	
NC_049901.1	197832	203916	1	minus	heme chaperone HemW-like	LOC118344056	118344056	protein-coding	XM_035683819.1	XP_035539712.1	283	
NC_049901.1	203588	208028	1	plus	uncharacterized protein LOC108988281	LOC108988281	108988281	protein-coding	XM_018961502.2	XP_018817047.1	817	
NC_049901.1	210514	213163	1	plus	60S ribosomal protein L34	LOC109013174	109013174	protein-coding	XM_035687015.1	XP_035542908.1	120	
NC_049901.1	215475	217821	1	minus	protein FEZ-like	LOC109013175	109013175	protein-coding	XM_018995164.2	XP_018850709.2	398	
NC_049901.1	222090	233869	1	minus	protease Do-like 8, chloroplastic isoform X1	LOC109013176	109013176	protein-coding	XM_018995166.2	XP_018850711.2	456	
NC_049901.1	234765	241020	1	minus	uncharacterized protein LOC109013180 isoform X1	LOC109013180	109013180	protein-coding	XM_018995171.2	XP_018850716.1	1068	
NC_049901.1	244046	249679	1	plus	NAP1-related protein 2-like	LOC109013177	109013177	protein-coding	XM_018995168.2	XP_018850713.1	252	
NC_049901.1	250295	259099	1	minus	thyroid adenoma-associated protein homolog	LOC109013178	109013178	protein-coding	XM_018995169.2	XP_018850714.2	2204	
NC_049901.1	259870	272899	1	plus	cullin-3A-like	LOC109013179	109013179	protein-coding	XM_018995170.2	XP_018850715.1	733	
NC_049901.1	279480	281965	1	plus	40S ribosomal protein S9-2	LOC108985812	108985812	protein-coding	XM_018958246.2	XP_018813791.2	197	
NC_049901.1	282907	284758	1	plus	uncharacterized LOC108985821	LOC108985821	108985821	lncRNA	XR_001995256.2			
NC_049901.1	285002	287016	1	minus	tubulin alpha chain-like	LOC108985820	108985820	protein-coding	XM_018958253.2	XP_018813798.1	450	
NC_049901.1	294781	302279	1	plus	ABC transporter B family member 19	LOC108985819	108985819	protein-coding	XM_018958252.2	XP_018813797.2	1249	
NC_049901.1	312947	314260	1	plus	transcription factor PRE6-like	LOC108985818	108985818	protein-coding	XM_018958251.2	XP_018813796.1	91	
NC_049901.1	318716	324137	1	plus	binding partner of ACD11 1-like	LOC108985815	108985815	protein-coding	XM_035695641.1	XP_035551534.1	257	
NC_049901.1	328139	330444	1	minus	uncharacterized protein At3g28850	LOC108985823	108985823	protein-coding	XM_018958256.2	XP_018813801.2	446	
NC_049901.1	340856	343076	1	plus	homeobox-leucine zipper protein HAT7-like	LOC108985814	108985814	protein-coding	XM_018958248.2	XP_018813793.1	283	
NC_049901.1	349188	355332	1	minus	3-dehydroquinate synthase homolog	LOC108985822	108985822	protein-coding	XM_018958255.2	XP_018813800.2	421	
NC_049901.1	356773	360255	1	minus	galactose mutarotase-like	LOC108985824	108985824	protein-coding	XM_018958257.2	XP_018813802.2	362	
NC_049901.1	363200	366157	1	minus	plant cysteine oxidase 2-like	LOC108985813	108985813	protein-coding	XM_018958247.2	XP_018813792.1	286	
NC_049901.1	372671	376773	1	plus	V-type proton ATPase subunit d2-like	LOC108992884	108992884	protein-coding	XM_018967594.2	XP_018823139.1	351	
NC_049901.1	378130	380777	1	plus	uncharacterized protein LOC108992858	LOC108992858	108992858	protein-coding	XM_018967550.2	XP_018823095.2	674	
NC_049901.1	381729	384160	1	minus	ethylene-responsive transcription factor WRI1-like isoform X1	LOC109021237	109021237	protein-coding	XM_019003833.1	XP_018859378.1	394	
NC_049901.1	386550	396714	1	plus	FACT complex subunit SSRP1	LOC109016617	109016617	protein-coding	XM_018999008.2	XP_018854553.1	643	
NC_049901.1	396806	399052	1	minus	probable pectate lyase P59	LOC108992810	108992810	protein-coding	XM_018967460.2	XP_018823005.1	437	
NC_049901.1	400894	403349	1	plus	probable auxin efflux carrier component 8	LOC108992811	108992811	protein-coding	XM_018967461.2	XP_018823006.1	367	
NC_049901.1	404585	407614	1	plus	mitochondrial outer membrane protein porin of 34 kDa	LOC108992813	108992813	protein-coding	XM_018967466.2	XP_018823011.2	276	
NC_049901.1	409048	415395	1	minus	hypersensitive-induced response protein 1-like	LOC108992812	108992812	protein-coding	XM_035689290.1	XP_035545183.1	289	
NC_049901.1	416007	420273	1	minus	probable serine/threonine-protein kinase PIX7	LOC108992809	108992809	protein-coding	XM_018967458.2	XP_018823003.1	476	
NC_049901.1	421872	426252	1	minus	protein CLP1 homolog	LOC108992823	108992823	protein-coding	XM_035689288.1	XP_035545181.1	439	
NC_049901.1	434344	434416	1	minus	tRNA-Ala	TRNAA-AGC	109017158	tRNA				
NC_049901.1	434470	439797	1	plus	protein arginine methyltransferase NDUFAF7 homolog, mitochondrial	LOC108992822	108992822	protein-coding	XM_018967478.2	XP_018823023.1	495	
NC_049901.1	440832	441938	1	plus	thioredoxin H2-like	LOC108992824	108992824	protein-coding	XM_018967480.2	XP_018823025.1	138	
NC_049901.1	441784	451145	1	minus	uncharacterized gene	LOC108992821	108992821	pseudogene				
NC_049901.1	457578	489999	1	minus	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase VIP2-like isoform X1	LOC108992859	108992859	protein-coding	XM_035691724.1	XP_035547617.1	1053	
NC_049901.1	501668	503499	1	plus	putative pentatricopeptide repeat-containing protein At3g28640	LOC108992769	108992769	protein-coding	XM_018967408.2	XP_018822953.2	501	
NC_049901.1	503662	505115	1	minus	uncharacterized protein LOC108992770	LOC108992770	108992770	protein-coding	XM_018967409.2	XP_018822954.2	285	
NC_049901.1	512937	513704	1	plus	uncharacterized mitochondrial protein AtMg00810-like	LOC109001255	109001255	protein-coding	XM_018978454.1	XP_018833999.1	255	
NC_049901.1	516409	543108	1	minus	ATP-dependent DNA helicase At3g02060, chloroplastic isoform X1	LOC109001277	109001277	protein-coding	XM_018978477.2	XP_018834022.1	862	
NC_049901.1	550208	551803	1	minus	WD repeat-containing protein LWD1	LOC109001278	109001278	protein-coding	XM_018978481.2	XP_018834026.1	345	
NC_049901.1	563285	566181	1	plus	uncharacterized protein LOC109001279	LOC109001279	109001279	protein-coding	XM_018978482.2	XP_018834027.2	300	
NC_049901.1	570736	578809	1	plus	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 12	LOC109001280	109001280	protein-coding	XM_018978486.2	XP_018834031.1	226	
NC_049901.1	578155	578281	1	minus	U11 spliceosomal RNA	LOC118344329	118344329	snRNA	XR_004798102.1			
NC_049901.1	582019	583820	1	plus	chalcone synthase-like	LOC109001281	109001281	protein-coding	XM_018978491.2	XP_018834036.1	394	
NC_049901.1	596492	609991	1	plus	UPF0496 protein At3g19330	LOC109001285	109001285	protein-coding	XM_035695499.1	XP_035551392.1	435	
NC_049901.1	610769	613865	1	plus	uncharacterized gene	LOC109001282	109001282	pseudogene				
NC_049901.1	621976	634459	1	minus	uncharacterized protein LOC109001283 isoform X3	LOC109001283	109001283	protein-coding	XM_018978493.2	XP_018834038.1	487	
NC_049901.1	635726	646391	1	minus	uncharacterized protein LOC109001286	LOC109001286	109001286	protein-coding	XM_018978501.1	XP_018834046.1	890	
NC_049901.1	651640	654528	1	minus	cytochrome b-c1 complex subunit Rieske-4, mitochondrial-like	LOC109001287	109001287	protein-coding	XM_018978505.2	XP_018834050.1	281	
NC_049901.1	663814	666262	1	plus	N-alpha-acetyltransferase MAK3	LOC109001288	109001288	protein-coding	XM_018978506.2	XP_018834051.1	201	
NC_049901.1	685007	712324	1	plus	alpha-mannosidase At3g26720-like	LOC109001289	109001289	protein-coding	XM_018978507.2	XP_018834052.1	1021	
NC_049901.1	716588	762354	1	plus	probable alpha-mannosidase At5g13980 isoform X1	LOC109001290	109001290	protein-coding	XM_018978508.2	XP_018834053.1	1030	
NC_049901.1	763563	774473	1	plus	RING finger protein 10	LOC109001292	109001292	protein-coding	XM_018978512.2	XP_018834057.1	777	
